name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,address,distMetro,metro,photoAmount,menuPositions,reviewsAmount,cuisine,tablesAmount,phoneListed,reservationButton,categories,name_repeats,lat,lon,metro_m^2
Al33 Пиццерия,https://yandex.ru/maps/org/al33_pitstseriya/173729358850/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,600-2000,4.4,1340.0,"Ленинградский просп., 33, корп. 4, Москва",320 м,Динамо,147.0,114,699.0,"европейская, итальянская, авторская, морская, мясная, рыбная, вегетарианская, средиземноморская",26–38,True,False,"Пиццерия, Ресторан, Бар",1,55.787285,37.559936,
Амбассадори-Трамплин,https://yandex.ru/maps/org/ambassadori_tramplin/1329753818/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500,4.6,1986.0,"Москва, ул. Косыгина, 28","1,22 км",Воробьёвы горы,592.0,45,1028.0,"европейская, итальянская, паназиатская, авторская, домашняя, смешанная, вегетарианская",1–50,True,False,"Ресторан, Банкетный зал",1,55.708511,37.544827,
Amphora,https://yandex.ru/maps/org/amphora/128434812078/,Выходной,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,18:00–05:00,2500-10000,4.9,78.0,"Москва, Пречистенская наб., 17-19",780 м,Кропоткинская,90.0,0,58.0,"европейская, паназиатская, русская, японская, морская, рыбная, смешанная, мясная, американская, фьюжн, вегетарианская, домашняя, азиатская",до 10,True,True,"Ресторан, Кальян-бар, Бар",1,55.739732,37.605508,
АндерСон,https://yandex.ru/maps/org/anderson/104269030501/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–23:00,09:00–23:00,1500-2500,4.8,5224.0,"Москва, ул. Льва Толстого, 23, корп. 1",920 м,Парк культуры,505.0,4,2982.0,"европейская, итальянская, русская, авторская, домашняя, вегетарианская",от 40,True,False,"Кафе, Кондитерская, Ресторан",7,55.734917,37.58482,
АндерСон,https://yandex.ru/maps/org/anderson/1686677393/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1500-2000,4.6,2762.0,"Москва, Кусковская ул., 47","1,13 км",Перово,277.0,153,1313.0,"европейская, русская, авторская, домашняя, вегетарианская",15,True,False,"Кафе, Кондитерская, Ресторан",7,55.744313,37.794352,246370.0
АндерСон,https://yandex.ru/maps/org/anderson/1723623052/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1500-2000,4.6,7010.0,"Москва, просп. Мира, 119, стр. 136","1,32 км",ВДНХ,601.0,148,3732.0,"европейская, итальянская, русская, авторская, домашняя, вегетарианская",28,True,False,"Кафе, Кондитерская, Ресторан",7,55.828081,37.627607,
АндрБар,https://yandex.ru/maps/org/andrbar/207291164977/,17:00–00:00,17:00–00:00,17:00–00:00,17:00–00:00,17:00–02:00,17:00–02:00,17:00–00:00,600-1500,4.3,239.0,"Москва, Таганская площадь, 86/1с1",148 м,Таганская,64.0,0,149.0,"европейская, американская, тайская, восточная, авторская, вегетарианская",,True,False,"Ресторан, Кальян-бар, Бар",1,55.741429,37.652795,
Арарат,https://yandex.ru/maps/org/ararat/1072099466/,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,13:00–23:00,3000-5000,4.5,140.0,"Москва, Неглинная ул., 4",320 м,Театральная,92.0,0,31.0,"кавказская, авторская, армянская, домашняя, рыбная, вегетарианская, национальная, шашлык, веганская",,True,False,"Ресторан, Кофейня",4,55.759912,37.621471,
Армения,https://yandex.ru/maps/org/armeniya/1133929046/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1500-2500,4.3,2010.0,"Москва, Тверской бул., 28/17",6 м,Тверская,331.0,102,897.0,"грузинская, европейская, кавказская, авторская, армянская, мясная, рыбная, национальная, шашлык, смешанная, морская, вегетарианская, международная",до 15,True,False,"Ресторан, Банкетный зал",1,55.764075,37.605418,
Аруба,https://yandex.ru/maps/org/aruba/1187587391/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2500-3000,4.7,1709.0,"Москва, Народная ул., 4, стр. 1",124 м,Таганская,438.0,61,927.0,"европейская, мексиканская, латиноамериканская, смешанная, средиземноморская, вегетарианская",,True,False,"Ресторан, Бар",1,55.739336,37.651583,
