name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
1 Этаж,https://yandex.ru/maps/org/1_etazh/1011263209/,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,500-1000,4.2,347,"ул. Костякова, 6/5, Москва",770,Дмитровская,84,0,178
16 Тонн,https://yandex.ru/maps/org/16_tonn/186517304540/,12:00–05:00,12:00–05:00,12:00–05:00,12:00–05:00,12:00–05:00,12:00–05:00,12:00–05:00,,4.7,4537,"ул. Арбат, 28/1с1, Москва",600,Смоленская,146,100,2050
Км20 Food,https://yandex.com/maps/org/20_food/188515485499/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,1500-2500,4.8,1747,"Столешников пер., 2, стр. 1, Москва",590,Пушкинская,311,89,653
2007 бар,https://yandex.ru/maps/org/2007_bar/244310080955/,10:00–00:00,10:00–00:00,10:00–00:00,10:00–00:00,10:00–01:00,11:00–01:00,11:00–00:00,,5.0,496,"Бакунинская ул., 4-6с1, Москва",196,Бауманская,102,35,365
+39 Пиццерия Моцарелла бар,https://yandex.ru/maps/org/39_pitstseriya_motsarella_bar/159851764741/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–00:00,12:00–00:00,12:00–23:00,1000-2500,4.9,1230,"Столярный пер., 3, корп. 12, Москва",510,Улица 1905 года,288,38,684
+39 Траттория & Пиццерия,https://yandex.com/maps/org/39_trattoria_pizzeria/1268443521/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-3000,4.7,1614,"Новая Басманная ул., 23А, стр. 4, Москва",710,Комсомольская,381,50,869
+39 Траттория & Пиццерия,https://yandex.ru/maps/org/39_trattoriya_pitstseriya/1268443521/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–00:00,12:00–00:00,12:00–00:00,1500-3000,4.7,1614,"Новая Басманная ул., 23А, стр. 4, Москва",710,Комсомольская,381,50,869
Четыре комнаты,https://yandex.com/maps/org/4_rooms/212831245423/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,1500-2500,4.7,1660,"ул. Дыбенко, 36, корп. 1, Москва",253,Ховрино,487,82,941
6am Bread Kitchen,https://yandex.ru/maps/org/6am_bread_kitchen/230591967307/,09:00–20:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–23:00,10:00–23:00,10:00–22:00,1500-2500,4.8,1932,"Садовническая ул., 80, Москва",930,Павелецкая,415,40,1000
"7 небо, Серебряный зал",https://yandex.ru/maps/org/7_nebo_serebryany_zal/85309394169/,Выходной,Выходной,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1500-4000,5.0,663,"ул. Академика Королёва, 15, корп. 1, Москва",2,Бутырская,86,29,288
Хинкальная 777,https://yandex.com/maps/org/777_hinkalnaya/1095199819/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,900-3000,4.5,1114,"Большая Пироговская ул., 53-55, Москва",470,Спортивная,170,42,574
"7 Небо, Золотой зал",https://yandex.com/maps/org/7th_heaven_golden_hall/25871842304/,Выходной,Выходной,Выходной,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,2500-5000,4.9,1622,"ул. Академика Королёва, 15, корп. 1, Москва",1,Бутырская,66,48,607
800°с Contemporary Steak,https://yandex.com/maps/org/800_contemporary_steak/232041016719/,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,6000-8000,4.9,3110,"Большой Патриарший пер., 6, стр. 1, Москва",970,Пушкинская,155,21,1380
