name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,address,distMetro,metro,photoAmount,menuPositions,reviewsAmount,cuisine,tablesAmount,phoneListed,reservationButton,categories,name_repeats,lat,lon,metro_m^2,avgBill_num,cuisine_count,tables_max,distance_meters,24h
Абу Гош,https://yandex.ru/maps/org/abu_gosh/238185678950/,12:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,700-900,4.7,2351.0,"Москва, пер. Сивцев Вражек, 42, стр. 5",380 м,Смоленская,533.0,0,1280.0,"восточная, арабская, еврейская, вегетарианская, национальная",5–6,1,0,Кафе,2,55.746948,37.586985,513561.0,800.0,5,6.0,380.0,0
АндерСон,https://yandex.ru/maps/org/anderson/1675438683/,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,09:00–22:00,10:00–22:00,10:00–22:00,1000-1000,4.5,2141.0,"Москва, Большой Афанасьевский пер., 2",300 м,Кропоткинская,163.0,145,962.0,"европейская, итальянская, русская, авторская, домашняя, вегетарианская",10,1,0,"Кафе, Кейтеринг, Кондитерская",7,55.745002,37.597809,553778.0,1000.0,6,10.0,300.0,0
АндерСон,https://yandex.ru/maps/org/anderson/83297602743/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,1200-1500,4.7,1751.0,"Москва, Таганская ул., 36, стр. 1",660 м,Марксистская,231.0,137,1014.0,"европейская, итальянская, русская, японская, авторская, домашняя, вегетарианская",13,1,0,"Кафе, Кофейня, Кондитерская",7,55.739326,37.666387,409669.0,1350.0,7,13.0,660.0,0
Бейрут,https://yandex.ru/maps/org/beyrut/1163502797/,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,12:00–23:00,1000-1000,4.7,1514.0,"Москва, Машкова ул., 22",750 м,Красные Ворота,310.0,46,822.0,"восточная, арабская, еврейская, мясная, вегетарианская, шашлык",,1,0,Кафе,1,55.764247,37.653209,403337.0,1000.0,6,,750.0,0
Биджо,https://yandex.ru/maps/org/bidzho/30527703438/,,,,,,,,900-1500,4.9,1193.0,"Москва, Профсоюзная ул., 15",115 м,Профсоюзная,344.0,125,772.0,"грузинская, европейская, кавказская, авторская, мясная, вегетарианская, шашлык, постная, национальная",10–13,1,0,"Кафе, Доставка еды и обедов, Бар",2,55.679514,37.565335,322696.0,1200.0,9,13.0,115.0,0
Black Шаурма,https://yandex.ru/maps/org/black_shaurma/113994722799/,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,10:00–22:00,Выходной,150-250,4.5,638.0,"Москва, Комсомольский просп., 28",137 м,Фрунзенская,54.0,20,422.0,"кавказская, турецкая, мексиканская, русская, узбекская, восточная, азиатская, арабская, домашняя, мясная, веганская",,1,0,"Быстрое питание, Доставка еды и обедов, Кафе",1,55.726882,37.579654,494531.0,200.0,11,,137.0,0
БлинБери,https://yandex.ru/maps/org/blinberi/159730154260/,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,09:00–22:00,09:00–22:00,205-500,4.8,279.0,"Москва, Нижний Сусальный пер., 5, стр. 2",7 м,Курская,107.0,52,194.0,"славянских народов, рыбная, русская, мясная, домашняя, вегетарианская",,1,0,"Быстрое питание, Кафе",3,55.760413,37.662326,409669.0,352.5,6,,7.0,0
БлинБери,https://yandex.ru/maps/org/blinberi/216328821884/,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,,4.9,136.0,"Москва, Чистопрудный бул., 1А",94 м,Чистые пруды,69.0,52,93.0,"русская, домашняя, славянских народов, рыбная, мясная, вегетарианская",,1,0,"Быстрое питание, Кафе",3,55.764774,37.639716,403337.0,,6,,94.0,0
БлинБери,https://yandex.ru/maps/org/blinberi/235397765143/,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,205-500,4.7,1289.0,"Москва, Ордынский тупик, 4А",201 м,Третьяковская,174.0,52,711.0,"русская, домашняя, мясная, рыбная, славянских народов, вегетарианская",,1,0,"Быстрое питание, Кафе",3,55.741206,37.623277,537876.0,352.5,6,,201.0,0
Бол Бол ФУД,https://yandex.ru/maps/org/bol_bol_fud/162790754041/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,500-700,4.3,1741.0,"Москва, Щёлковское ш., 45А",690 м,Щёлковская,238.0,102,853.0,"грузинская, европейская, американская, китайская, кавказская, русская, смешанная, вегетарианская",20–30,1,0,"Кафе, Пиццерия, Быстрое питание",1,55.810238,37.787821,236816.0,600.0,8,30.0,690.0,1
